state,state_code,bill,title,type,status,effective_date,sponsor,key_provision,source_url,last_verified_date,confidence_level
Illinois,IL,SB 4016 / HB 5513,POWER Act (Protecting Our Workers and Energy Resources),Ratepayer protection + environmental standards,Introduced Feb 2026,,"Sen. Ram Villivalam (S); Rep. Robyn Gabel (H)","Clean energy procurement mandates; utilities cannot pass data center costs to ratepayers; 3-mile buffer from overburdened communities; utility assistance fund contributions",https://www.nprillinois.org/illinois/2026-02-11/power-act-lawmakers-seek-to-regulate-new-data-centers-power-water-usage,2026-03-02,High
Illinois,IL,SB 2181,Data Center Energy and Water Reporting Act,Reporting mandate,Introduced 2025,,TBD,"All data centers must annually report energy and water consumption to Illinois Power Agency starting Jan 1 2026",https://www.ilga.gov/documents/legislation/104/SB/10400SB2181.htm,2026-03-02,High
Illinois,IL,Governor's Budget Proposal,2-Year Moratorium on Data Center Tax Incentives,Tax incentive moratorium,Proposed Feb 2026,2026-07-01,Gov. JB Pritzker,"2-year pause on new state tax credits for data centers; reassessment of economic and environmental impacts",https://www.nbcnews.com/politics/politics-news/gov-jb-pritzker-suspending-tax-incentives-data-centers-illinois-rcna259297,2026-03-02,High
Oregon,OR,HB 3546,POWER Act (Protecting Oregonians With Energy Responsibility),Ratepayer protection + cost allocation,Signed 2025,,TBD,"Separate rate class for >20MW data centers and crypto miners; mandatory 10-year contracts; full infrastructure cost responsibility; does not apply retroactively",https://www.opb.org/article/2025/06/05/oregon-data-centers-cryptocurrency-business-environment-power-electricity/,2026-03-02,High
Colorado,CO,SB25-280,Data Center Development & Grid Modernization Act,Tax incentive + regulatory accommodation,Introduced 2025,,TBD,"20-year 100% sales/use tax exemption; $250M minimum investment; 25 FTE jobs; 50% clean energy sourcing; workforce programs; annual compliance reporting",https://leg.colorado.gov/bills/sb25-280,2026-03-02,High
Colorado,CO,SB 26-102,Data Center Clean Energy Mandate,Environmental regulation,Introduced 2026,,TBD,"100% new renewable energy by 2031; water stewardship rules; impact reviews in disadvantaged communities; community benefits requirements",https://coloradosun.com/2026/01/23/colorado-data-center-bills-incentives-regulations/,2026-03-02,High
Massachusetts,MA,H.5151,Data Center Energy and Ratepayer Protection,Renewable mandate + ratepayer protection,Passed House 2026,,TBD,"80% renewable energy required for new/expanded data centers; EDCs must develop data center tariffs protecting non-data center ratepayers; incentivize heat recapture",https://www.energychoicematters.com/stories/20260226ga.html,2026-03-02,High
Washington,WA,HB 2515 / SB 6171,Data Center Regulation and Ratepayer Protection,Ratepayer protection + clean energy mandate,Passed House 51-41 (2026),,TBD,"Utilities must develop data center tariffs by 2027; annual water/energy/emissions reporting; 80% renewables by 2030 / 100% by 2045; curtailment during grid strain; annual energy fee",https://app.leg.wa.gov/billsummary?BillNumber=2515&Year=2025,2026-03-02,High
New Mexico,NM,HB 93 (amended),Microgrid Authorization for Data Centers,Regulatory exemption,Signed 2025,,TBD,"Allows on-site microgrid power generation for data centers; enables self-generation and sale of electricity",https://sourcenm.com/2026/01/14/nm-lawmaker-proposes-more-oversight-regulations-for-data-center-microgrids/,2026-03-02,High
New Mexico,NM,2026 PRC Oversight Bill (draft),Data Center Microgrid Oversight,Environmental regulation,Draft for 2026 session,,Sen. Jeff Steinborn,"PRC oversight of data center microgrids; phased renewable targets (40% by 2028 / 50% by 2030 / 100% by 2040); annual energy/water reporting",https://sourcenm.com/2026/01/14/nm-lawmaker-proposes-more-oversight-regulations-for-data-center-microgrids/,2026-03-02,Medium
New Jersey,NJ,A5462,Data Center Electric Tariff Reform,Ratepayer protection,Introduced 2025,,TBD,"Requires electric utilities to create special tariffs for data centers; protect ordinary customers from rate increases; incentivize energy efficiency and heat recapture",https://www.datacenterdynamics.com/en/news/new-jersey-general-assembly-proposes-bill-to-apply-special-rate-for-large-load-data-centers/,2026-03-02,High
New Jersey,NJ,Governor's Conditional Veto,BPU Study on Data Center Ratepayer Impacts,Study mandate,Conditional veto Oct 2025,,Gov. Phil Murphy,"Requires BPU to study whether data centers are overburdening ratepayers; concrete action deferred to Jan 2027",https://newjerseymonitor.com/2025/10/20/governor-data-centers-veto/,2026-03-02,High
New Jersey,NJ,S4143,AI Data Center Clean Energy Requirement,Environmental regulation,Introduced 2025,,TBD,"Requires future AI data centers and crypto operations to derive all electricity from new clean energy sources; submit comprehensive energy usage plans",https://legiscan.com/NJ/text/S4143/id/3135244,2026-03-02,High
Connecticut,CT,SB 245,Eliminating Data Center Tax Incentives,Tax incentive rollback,Introduced 2026,2026-07-01,TBD,"DECD barred from accepting new data center tax-exempt applications after July 1 2026; ends 30-year exemption program",https://trackbill.com/bill/connecticut-senate-bill-245-an-act-eliminating-certain-tax-incentives-for-data-centers/2817535/,2026-03-02,High
Connecticut,CT,HB 5076,AI Data Center Energy and Water Efficiency,Reporting mandate,Did not advance (2025),,TBD,"Proposed energy and water efficiency standards for AI data centers; did not pass committee",https://legiscan.com/CT/bill/HB05076/2025,2026-03-02,High
Connecticut,CT,SB 1292,Data Center Energy and Water Usage Reporting,Reporting mandate,Introduced 2025,,TBD,"Large data centers must report energy/water consumption and power source details; DEEP to set efficiency standards",https://environmentamerica.org/connecticut/resources/the-case-for-water-and-energy-efficiency-standards-for-data-centers/,2026-03-02,High
Minnesota,MN,2025 Data Center Omnibus Law,Data Center Program Reform,Mixed (incentive extension + new regulation),Signed Jun 2025,2025-07-01,TBD,"IT tax exemption extended to 35 years; electricity exemption repealed; $2M-$5M annual fees; separate 'very large customer' rate class; PUC approval required; $250M investment threshold; green building certification; water reporting for >100M gal/year",https://www.house.mn.gov/NewLaws/story/2025/5641,2026-03-02,High
Wisconsin,WI,SB 1061,Moratorium on Data Centers,Moratorium,Introduced Feb 2026,,TBD,"Complete moratorium on new data centers until planning authority established; mandatory renewable energy; ban on cost pass-through to residents; voter referendum required; ban on NDAs with government",https://docs.legis.wisconsin.gov/2025/related/proposals/sb1061/_1,2026-03-02,High
Delaware,DE,SB 205,Data Center PSC Certification Requirement,Regulatory oversight,Introduced 2025,,TBD,"Data centers using >30MW must obtain PSC certificate; grid capacity assessment; alignment with renewable goals; economic and ratepayer impact review",https://www.delawarepublic.org/politics-government/2025-09-29/new-bill-would-impose-more-regulations-on-data-centers-looking-to-set-up-shop-in-delaware,2026-03-02,High
Ohio,OH,Senate Budget Proposal,End Data Center Tax Exemptions,Tax incentive rollback,Proposed mid-2025,2025-10-01,TBD,"End Tax Credit Authority ability to award new data center tax exemptions after Oct 1 2025; existing exemptions honored",https://signalcleveland.org/ohio-senate-budget-would-end-a-huge-tax-break-for-big-tech/,2026-03-02,High
Idaho,ID,HB 315,Data Center Sales Tax Exemption Cap,Tax incentive reduction,Signed 2025,2025-03-01,TBD,"Sales tax exemption capped at 7 years for applications after Mar 1 2025; Meta Kuna center grandfathered with permanent exemption",https://boisedev.com/news/2025/03/04/hb-315-mar-2025/,2026-03-02,High
Idaho,ID,HB 609,Data Center Tax Exemption Reform and Sunset,Tax incentive reduction + utility cost recovery,Introduced 2026,,Rep. Chris Bruce,"All new exemptions sunset July 1 2036; data centers pay full electricity cost; no stacking with property tax incentives; water use notice requirements",https://idahoconservation.org/icl-bill-tracker/hb-609-guidelines-for-data-centers-2026,2026-03-02,High
Alabama,AL,SB 270,Large Load Customer Conditions,Ratepayer protection,Introduced 2026,,TBD,"PSC to condition permits on infrastructure cost coverage; require statewide ratepayer benefit demonstration",https://www.legislature.state.al.us/,2026-03-02,Medium
Arizona,AZ,HB 2756,Grid Connection Cost Protections,Ratepayer protection,Introduced 2026,,TBD,"PUC rules ensuring grid connection costs not shifted to other retail customers",https://www.azleg.gov/,2026-03-02,Medium
Georgia,GA,SB 476,Eliminate Corporate Tax Credits,Tax incentive rollback,Introduced 2026,,"Sen. Blake Tillery (R)","Eliminate all corporate tax credits (including data center) to fund income tax reduction",https://www.legis.ga.gov/,2026-03-02,Medium
Maryland,MD,HB 120,Emergency Data Center Moratorium,Moratorium,Introduced 2026,,TBD,"Prevent new data center construction until co-location legislation passes; require co-located power generation",https://mgaleg.maryland.gov/,2026-03-02,Medium
New Hampshire,NH,HB 672,Off-Grid Electricity Provider,Regulatory exemption,Effective Aug 2025,2025-08-01,TBD,"Off-grid providers not public utilities; exempt from PUC oversight; lose exemption on grid connection",https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_status.aspx?lsr=0672&sy=2025,2026-03-02,High
South Dakota,SD,SB 232,Hyperscale Data Center Moratorium,Moratorium,Introduced 2026,,TBD,"1-year moratorium on expansion or new hyperscale data center construction",https://sdlegislature.gov/,2026-03-02,Medium
Vermont,VT,S.205,Data Center Construction Moratorium,Moratorium,Introduced 2026,,Multiple senators,"Freeze data center construction until July 2030; PUC investigation of environmental/economic impacts",https://legislature.vermont.gov/,2026-03-02,Medium
