date,state_jurisdiction,program_name,dollar_amount,action_type,federal_stated_rationale,state_local_response,outcome,primary_source_url,verification_level,amount_usd,state_code,targeted
2025-01-20,All States,IIJA / IRA (Blanket Pause),$125 billion (unobligated),frozen,EO 'Unleashing American Energy' directed agencies to pause disbursement of IIJA and IRA funds pending review for alignment with administration energy priorities,lawsuit filed,Federal judge ordered resumption; formula highway funds resumed by mid-2025; discretionary and EV grants remained delayed,https://www.constructiondive.com/news/judge-orders-trump-reinstate-iija-ira-funding/745582/,HIGH,125000000000,,0
2025-01-20,All States,NEVI (EV Charging — IIJA),$5 billion (program total),frozen,EO 'Unleashing American Energy'; pause on all NEVI funding obligations pending policy review; only 16% of funds had been obligated,lawsuit filed,Court injunction restored access for 14 states (Jun 2025); updated DOT guidance issued Aug 2025; full unfreeze ordered Jan 2026,https://electrek.co/2026/01/23/court-says-us-must-free-up-billions-in-illegally-frozen-electric-car-charger-funds/,HIGH,5000000000,,0
2025-01-27,All States,OMB M-25-13 (All Federal Grants),Trillions (all federal financial assistance),frozen,"'Temporary pause of agency grant, loan, and other financial assistance programs' to ensure alignment with EO priorities on DEI, climate, foreign aid",lawsuit filed,Memo rescinded Jan 29 after judicial stay; however White House stated EOs underlying the freeze remained in effect; ongoing court injunctions,https://www.nafsa.org/regulatory-information/omb-memorandum-temporary-pause-agency-grant-loan-and-other-financial,HIGH,,,0
2025-01-28,All States (Medicaid/Head Start providers),HHS — Medicaid / Head Start Portal Freeze,Not specified,frozen,OMB M-25-13 implementation disrupted federal payment portals; Medicaid and Head Start providers locked out of reimbursement systems,lawsuit filed,Portal access restored within days after federal judge intervened; GAO later found Head Start withholding violated Impoundment Control Act,https://thegrio.com/2025/01/29/head-start-and-medicaid-providers-hit-glitches-as-trump-freezes-federal-money/,HIGH,,,0
2025-02-05,"Sanctuary jurisdictions (CA, IL, NY, OR, WA, CO, MA, and others)",Byrne JAG (DOJ),~$1.56 billion (total program),conditioned,"DOJ Sanctuary Jurisdiction Directives memo: jurisdictions must certify compliance with 8 USC §1373(a) — cooperation with ICE — or face funding withholding; 30-day grant review, 60-day NGO review",lawsuit filed,Federal judges blocked withholding from 34+ cities and counties; litigation ongoing,https://www.epi.org/policywatch/doj-memo-on-sanctuary-jurisdiction-directives-cuts-funding-for-state-and-local-jurisdictions-and-ngos/,HIGH,1560000000,"CA,IL,NY,OR,WA,CO,MA",1
2025-02-28,All States (nonprofits nationwide),EPA — Greenhouse Gas Reduction Fund (IRA),$20 billion,frozen,"EPA froze GGRF grants citing 'self-dealing, conflicts of interest, mismanagement, and insufficient oversight' among recipient nonprofits",lawsuit filed,EPA subsequently terminated grants; multiple lawsuits filed; nonprofits report inability to make payroll; litigation ongoing,https://www.politico.com/news/2025/02/28/groups-frozen-out-of-epa-cash-fear-bankruptcy-00206733,HIGH,20000000000,,0
2025-03-01,All States (domestic violence/sexual assault nonprofits),VAWA — Office on Violence Against Women,Not specified,frozen,Funding freeze extended to domestic violence nonprofit grants; OVW temporarily pulled grant opportunities from its website,resisted,Grants eventually restored after legal pressure; ongoing monitoring,https://www.politico.com/news/2025/03/01/funding-freeze-domestic-violence-00206807,HIGH,,,0
2025-03-14,All States (environmental justice recipients),EPA — Environmental Justice Grants (IRA),$1.7 billion (400+ grants),canceled,EPA Administrator Zeldin canceled 400+ grants in 4th round of cuts citing 'unnecessary or wasteful spending' on DEI and environmental justice programs,lawsuit filed,Congress subsequently rescinded all unobligated environmental/climate justice grant funding; legal challenges ongoing,https://www.epa.gov/newsreleases/epa-administrator-lee-zeldin-cancels-400-grants-4th-round-cuts-doge-saving-americans,HIGH,1700000000,,0
2025-04-03,All States,Dept. of Education — Title I / K-12 Funding,$6.9 billion,withheld,"Funding withheld pending state certification of elimination of DEI programs; 10-day compliance window; programs including Title I-C, II-A, III, IV-A, IV-B affected",resisted,Released Jul 2025 with 'guardrails' after bipartisan political pressure; states entered 'triage mode' during freeze,https://www.nea.org/resource-library/us-department-education-withholds-school-funding-fy25,HIGH,6900000000,,0
2025-04-24,All States,BEAD Broadband (NTIA — IIJA),$42.5 billion (program total),delayed,90-day programmatic pause; NTIA delayed guidance to states; administration shifted to technology-neutral stance voiding previously approved state proposals,resisted,States required to resubmit revised proposals; Fiber Broadband Association objected; delays pushed implementation to late 2026+,https://fiberbroadband.org/advocacy/response-to-90-day-delay-of-bead/,HIGH,42500000000,,0
2025-05-29,"500+ sanctuary cities/counties (CA, IL, NY, OR, WA, CO, MA, NJ, NM, CT, and others)",DHS — All Federal Grants (Sanctuary List),Billions (unspecified),threatened,DHS published list of 500+ 'sanctuary jurisdictions'; threatened to withhold DOJ and Transportation funds from jurisdictions not cooperating with ICE enforcement,lawsuit filed,Federal judges issued injunctions blocking withholding from multiple jurisdictions; litigation ongoing in multiple circuits,https://www.visaverge.com/immigration/dhs-publishes-list-of-sanctuary-cities-and-counties-obstructing-immigration-enforcement/,HIGH,,"CA,IL,NY,OR,WA,CO,MA,NJ,NM,CT",1
2025-06-01,All States,BEAD Broadband (NTIA — IIJA),$42.5 billion (program total),delayed,"NTIA issued new rules removing fiber preference, labor requirements, affordability and diversity conditions; all previously approved state proposals voided; 90-day resubmission window",pending,GAO ruled NTIA policy notice constitutes a new federal rule subject to Congressional Review Act; further delays expected,https://tiaonline.org/understanding-the-new-bead-rules-whats-changed-in-ntias-june-2025-policy-notice/,HIGH,42500000000,,0
2025-06-30,All States,HHS — Head Start,Not specified,withheld,HHS reduced disbursement rate for Head Start grants compared to prior year; GAO found this violated the Impoundment Control Act,resisted,Funds restored after congressional outcry and GAO finding of illegality,https://www.cbsnews.com/news/trump-head-start-funds-congressional-watchdog/,HIGH,,,0
2025-08-18,"21 States + DC (NY, CA, WI, IL, CO, MA, OR, WA, NJ, NM, and others)",VOCA / VAWA (DOJ — Victims Funds),~$1.4 billion (annual VOCA),conditioned,DOJ conditioned victim assistance funding on state cooperation with federal immigration enforcement — honoring ICE detainers and granting ICE facility access,lawsuit filed,DOJ dropped illegal grant conditions after multistate lawsuit; CA received $160M+ in VOCA/VAWA grants without immigration conditions,https://www.pbs.org/newshour/politics/20-states-and-d-c-sue-doj-to-stop-immigration-conditions-on-funds-for-crime-victims,HIGH,1400000000,"DC,NY,CA,WI,IL,CO,MA,OR,WA,NJ,NM",1
2025-09-01,All States (Medicaid),HHS — Medicaid (Budget Reconciliation),$900 billion–$1 trillion (10-year cut),conditioned,"Budget reconciliation (H.R. 1 / OBBBA) enacted historic Medicaid funding reductions; new work requirements, provider tax limits, more frequent eligibility reviews",pending,"States planning benefit cuts, reduced eligibility, provider pay reductions; individual state losses estimated 3%–21% of federal Medicaid funding",https://www.commonwealthfund.org/blog/2025/states-responses-hr-1-cuts-medicaid-funding,HIGH,,,0
2025-10-02,"Blue states (CA, CO, CT, DE, HI, IL, MD, MA, MN, NH, NJ, NM, NY, OR, VT, WA)",DOE — Clean Energy Grants (IRA/IIJA),"$7.56 billion (223 projects, 321 awards)",canceled,DOE terminated projects after 'individualized financial review' finding projects did not 'adequately advance nation's energy needs' or provide 'positive return on taxpayer investment',resisted,Recipients given 30-day appeal window; DOE reviewing additional hundreds of grants potentially totaling $20B in cuts; lawsuits pending,https://www.energy.gov/articles/energy-department-announces-termination-223-projects-saving-over-75-billion,HIGH,7560000000,"CA,CO,CT,DE,HI,IL,MD,MA,MN,NH,NJ,NM,NY,OR,VT,WA",1
2025-10-19,All States (45 states),FEMA — Disaster Relief Fund,$11 billion,delayed,FEMA shifted disaster reimbursement payments from FY2025 to FY2026 due to Disaster Relief Fund shortfall from COVID-19 spending; stricter expenditure reviews,lawsuit filed,Federal judge ordered release of some withheld grants finding manual review violated prior court injunctions; states face cash flow challenges,https://www.naco.org/news/fema-delays-11-billion-state-disaster-reimbursements,HIGH,11000000000,,0
2025-10-19,All States,FEMA — Emergency Management Grants,Not specified,delayed,New rules requiring updated population counts excluding individuals removed under immigration laws; additional administrative burdens for state emergency managers,resisted,States warn disaster response capabilities may be compromised; federal-state negotiations ongoing,https://www.usnews.com/news/best-states/washington/articles/2025-10-19/state-emergency-officials-say-new-rules-and-delays-for-fema-grants-put-disaster-response-at-risk,HIGH,,,0
2025-01-20,"AZ, NM, OH, OR, TX, ID, NY, VT",CHIPS Act (Commerce Dept.),$50 billion (program total),delayed,New administration initiated renegotiation of multi-billion dollar CHIPS contracts; Commerce Secretary signaled grants may be withheld from firms not expanding U.S. manufacturing operations sufficiently,pending,Over $36B of $50B formally awarded by late 2025; renegotiations ongoing for Intel and others; timeline extended into late 2020s,https://www.manufacturingdive.com/news/chips-and-science-act-tracker-semiconductor-manufacturing/734039/,MEDIUM,50000000000,"AZ,NM,OH,OR,TX,ID,NY,VT",1
2025-02-14,MA (and other states),EPA — Solar For All / Clean Energy Grants,$168 million (MA alone),frozen,EPA suspended grants including Solar For All program and emissions-reducing initiatives as part of broader environmental grant freeze,resisted,Legal challenges filed; grants remain suspended pending litigation outcome,https://www.wbur.org/news/2025/02/14/epa-trump-zeldin-masschusetts-climate-grants,HIGH,168000000,MA,1
2025-02-01,CA (UC and CSU systems),NIH — Research Grants (Targeted Terminations),"$135.8 million (79 grants, CA alone as of Apr 2025)",terminated,"Grants targeting LGBTQ+ health, gender identity, DEI-related research canceled under EO priorities; UC received 31 termination notices, CSU received 17",lawsuit filed,Some grants reinstated by federal court order Jun 2025; UC system fighting to restore $37M+ in terminated funds; litigation ongoing,https://edsource.org/2025/california-research-grants-federal-funding-trump-administration/733468,HIGH,135800000,CA,1
2025-04-02,"OR, HI, CO, AZ, IL",FEMA — Disaster Relief Grants (Continued Freeze),$129 million (OR alone); 215+ grants across 19 states,frozen,Continued freeze despite federal court injunction ordering resumption; administration claimed 'manual review' rather than freeze; 23 AGs filed enforcement motions,lawsuit filed,"Federal judge found FEMA violated prior court injunctions; OR owed $129M, HI wildfire survivor programs at risk, CO and AZ mitigation grants delayed",https://www.npr.org/2025/04/02/nx-s1-5345777/trump-states-fema-funds,HIGH,129000000,"OR,HI,CO,AZ,IL",1
2025-08-21,CA,HHS — PREP Sex Education Grant (Terminated),$12.3 million,terminated,CA refused to remove gender identity content from PREP curriculum; HHS ordered removal in Jun 2025; CA replied Aug 19 it would not comply; grant terminated Aug 21,appealed,Grant terminated; CA given 30-day appeal window; services disrupted for at-risk youth in ~20 counties,https://www.hhs.gov/press-room/hhs-defunds-californias-attempt-indoctrinate-children-gender-ideology.html,HIGH,12300000,CA,1
2025-08-26,40 States + DC + 5 territories,HHS — PREP Sex Education Grants (Gender Identity Ultimatum),$81 million (total program),threatened,HHS/ACF ordered all PREP-funded states to remove gender identity references from sex education curricula; 60-day compliance deadline; CA terminated first as example,mixed,CA terminated immediately; remaining states given 60-day deadline; compliance reviews pending; legal challenges anticipated,https://www.hhs.gov/press-room/hhs-acf-states-remove-gender-ideology-sex-ed.html,HIGH,81000000,DC,1
2025-09-18,All States (CA hardest hit — 167+ institutions),Dept. of Education — MSI Discretionary Grants,$350 million (national total),canceled,Solicitor General determined MSI eligibility criteria constitute unconstitutional race-based quotas; Dept. of Education ended all discretionary MSI funding,resisted,$132M in mandatory MSI funding remains; discretionary grants ended; CA Latino Legislative Caucus and civil rights groups pledge legal fight,https://www.ed.gov/about/news/press-release/us-department-of-education-ends-funding-racially-discriminatory-discretionary-grant-programs-minority-serving-institutions,HIGH,350000000,CA,0
2026-02-07,IL,FEMA — Individual Assistance (Aug 2025 Storms — Denied),Not specified,denied,"FEMA denied IL disaster declaration for Aug 16-19 storms (Boone, Cook, Kane, McHenry, Will counties); initial denial Oct 2025; appeal denied Feb 7 2026; supplemental federal assistance deemed not warranted",appealed,No further federal appeals available; Gov. Pritzker called it 'politically motivated'; state and local resources must bear full recovery burden,https://www.nprillinois.org/government-politics/2026-02-10/trump-administration-again-rejects-illinois-request-for-disaster-aid-from-august-storm,HIGH,,IL,1
2025-04-04,All States,FEMA — BRIC Hazard Mitigation Grants (Canceled),$4.5 billion (FY2020-2024),canceled,FEMA canceled Building Resilient Infrastructure and Communities (BRIC) program; all unawarded/unobligated FY2020-2023 grants canceled; FY2024 funding opportunity withdrawn; unspent funds returned to DRF or Treasury,lawsuit filed,"20 states sued; federal judge issued temporary injunction halting fund reallocation; ~2000 projects halted across dozens of states including AZ, CA, IL, MD, NY, OK, PA, NC, LA, TX",https://www.politico.com/news/2025/06/30/cities-lose-hope-restarting-disaster-projects-killed-by-trump-00414928,HIGH,4500000000,,0
2025-07-01,"TX ($700M), VA ($108M), AR ($64M), OK ($70M), NH ($27M)",Dept. of Education — K-12 Grants (State-Specific Withholding),"$6.9 billion (national); TX $700M, VA $108M, AR $64M, OK $70M, NH $27M",withheld,"Dept. of Education withheld FY25 grants for Title II-A (teacher training), III-A (English learners), IV-A (enrichment), IV-B (afterschool) pending 'programmatic review' to align with presidential priorities; near-zero notice to states",lawsuit filed,"TX AFT and 13 agencies sued Jul 22; funds released Jul 25 under bipartisan pressure and legal challenges; weeks of disruption forced districts to pause programs, delay staff, cancel curriculum orders",https://www.kxan.com/investigations/texas-aft-13-other-agencies-sue-over-millions-in-withheld-federal-education-funding/,HIGH,6900000000,"TX,VA,AR,OK,NH",1
2025-10-02,NH,DOE — Clean Energy Grants (NH-Specific Terminations),~$5 million (Brayton Energy); $43 million (Solar for All at risk),canceled,DOE terminated $5M grant to Brayton Energy (Hampton NH) for advanced thermal energy storage; NH $43M Solar for All grant also at risk; NH Congressional delegation protested as 'unlawful',resisted,NH Congressional delegation urged DOE/OMB reinstatement; legal challenge joined by NH AG; Brayton Energy project halted; Solar for All program for low-income communities jeopardized,https://www.nhpr.org/nh-news/2025-10-02/federal-energy-funding-cancellations-hits-project-in-new-hampshire-trump,HIGH,5000000,NH,1
2026-02-26,"CA, IL, MN, CO, Virgin Islands",FEMA — Disaster Relief Fund (Selective Release — Excluded States),"~$5 billion released to other states; CA, IL, MN, CO, VI excluded",withheld,"DHS released $5B+ in long-delayed FEMA disaster aid but excluded CA, IL, MN, CO, and VI; DHS claimed 'project readiness and strict oversight'; critics allege political targeting of blue states",lawsuit filed,NY and NC received aid in this tranche; CA still awaiting $1B+ for wildfire recovery; IL denied for Aug 2025 storms; political retaliation alleged by excluded states' governors,https://thehill.com/policy/energy-environment/5759529-billions-in-fema-funds-awarded/,HIGH,5000000000,"CA,IL,MN,CO,VI",1
2025-01-20,All States (energy sector),DOE — Loan Programs Office (Clean Energy Loans),$41.2 billion (pending conditional commitments),frozen,EO 'Unleashing American Energy' froze all pending LPO clean energy loan approvals and disbursements; over $41.2B in conditional commitments under review including utility grid modernization and clean hydrogen projects,lawsuit filed,Court battles ongoing; utilities awaiting clarity on $23B in grid loans; seven projects ($8.45B) slated for full cancellation by May 2025; GAO found LPO not on track to use full $250B in authorized loan authority,https://www.utilitydive.com/news/pacificorp-alliant-dte-doe-lpo-loans-freeze-trump/739270/,HIGH,41200000000,,0
2025-03-27,"MA, NC, FL, VA, AK",EPA — Environmental Finance Center Program,$3.2 million (5 grants),canceled,EPA canceled grants to five Environmental Finance Center organizations assisting small and disadvantaged communities with water infrastructure funding; cited DEI and environmental justice spending reductions under DOGE initiative,resisted,Grants terminated; Senate Democrats filed legal challenges; communities lost technical assistance for accessing Clean Water and Drinking Water SRF programs; university-based EFC programs shuttered,https://waterprogramportal.org/2025/03/27/environmental-finance-centers-cancelled-grants/,HIGH,3200000,"MA,NC,FL,VA,AK",1
2025-04-01,All States,DOT — FY2025 Highway and Transit Formula Funding,$38.5 billion,delayed,States waiting for distribution of full-year FY2025 formula funding after year-long continuing resolution enacted March 2025; DOT delayed apportionments and obligation authority for highway and transit programs,resisted,Formula funds eventually distributed by summer 2025; discretionary and competitive grants remained at risk of further delays; GAO found DOT had obligated 59-70% of available IIJA funding by late 2025,https://enotrans.org/article/state-local-governments-still-waiting-on-full-year-fy25-formula-funding/,HIGH,38500000000,,0
2025-04-11,AR,FEMA — Arkansas Tornado Disaster Declaration (Denied),$8.8 million (preliminary damage estimate),denied,FEMA denied Individual and Public Assistance for March 14-15 tornadoes; stated damage 'not of such severity and magnitude as to be beyond the capabilities of the state'; 3 deaths and 63 of 75 counties affected,appealed,Gov. Sanders and AR Congressional delegation appealed Apr 24; appeal pending; no federal funds obligated; state bearing full recovery burden; cumulative disaster impact cited in appeal,https://arkansasadvocate.com/briefs/arkansas-governor-appeals-fema-denial-of-disaster-declaration-from-march-tornadoes/,HIGH,8800000,AR,1
2025-04-25,WV,FEMA — West Virginia Flood Aid (Denied),Not specified,denied,FEMA denied disaster assistance for flooding; Individual Assistance denied for 7 of 14 affected counties; new federal policy reserving FEMA support only for most catastrophic events,appealed,State seeking alternative recovery funding; federal policy shift toward state responsibility for non-catastrophic disasters adds burden to already resource-limited state,https://westvirginiawatch.com/2025/04/28/trump-denies-disaster-aid-tells-states-to-do-more/,HIGH,,WV,1
2025-04-25,WA,FEMA — Washington State Windstorm Aid (Denied),Not specified,denied,FEMA denied disaster declaration for damaging windstorm; administration policy reserving federal disaster aid only for most catastrophic events such as major hurricanes or earthquakes,resisted,State bearing full recovery costs; emergency management officials warned about compromised future disaster response capacity without federal partnership,https://washingtonstatestandard.com/2025/04/28/trump-denies-disaster-aid-tells-states-to-do-more/,HIGH,,WA,1
2025-05-19,All States (energy sector),DOE — LPO Conditional Loan Cancellations (7 Projects),$8.45 billion (7 conditional commitments),canceled,"DOE planned cancellation of 7 conditional loan commitments for battery manufacturing, low-carbon ammonia, and rooftop solar for low-income homeowners; projects deemed misaligned with administration energy priorities",resisted,Some projects already abandoned due to policy uncertainty; industry investment confidence undermined; clean energy manufacturing expansion stalled; legal challenges anticipated,https://www.semafor.com/article/05/19/2025/us-plans-to-cancel-7-conditional-commitments-for-clean-energy,HIGH,8450000000,,0
2025-06-11,"IA, MS, MO, OK",FEMA — Hazard Mitigation Grants (Denied to 4 States),Not specified,denied,"FEMA denied hazard mitigation funding for disaster preparedness projects (flood buyouts, tornado safe rooms, warning sirens) despite approved major disaster declarations; cited unobligated balances and new policy emphasizing state self-reliance",resisted,Bipartisan confusion among lawmakers; 7+ hazard mitigation requests denied March-June 2025; communities unable to fund long-term resilience infrastructure; Oklahoma wildfire and Iowa storm recovery hampered,https://www.claimsjournal.com/news/national/2025/06/11/331113.htm,HIGH,,"IA,MS,MO,OK",1
2025-06-02,All States,EPA — Clean Water / Drinking Water SRF (FY2026 89% Cut Proposed),$2.46 billion (proposed annual reduction),threatened,FY2026 budget proposes cutting Clean Water SRF from $1.64B to $155M and Drinking Water SRF to $150M — 89% total reduction; administration cites IIJA temporary infusion as justification for permanent federal retreat from water infrastructure funding,resisted,Subject to Congressional approval; states and water utilities strongly oppose; if enacted would shift $2.46B annually in water infrastructure costs to state and local governments; small and rural systems most at risk,https://www.waterworld.com/drinking-water-treatment/infrastructure-funding/news/55287774/white-house-proposes-24b-reduction-for-2026-state-revolving-fund-programs,HIGH,2460000000,,0
2025-07-04,All States,IRA — Clean Energy Tax Credits Phase-out (OBBBA / H.R. 1),Not specified (eliminates future credits),rescinded,One Big Beautiful Bill Act (OBBBA) accelerates phase-out of IRA clean energy tax credits; solar/wind construction must begin by Jul 4 2026 or in service by Jan 1 2028; wind manufacturing credits end Dec 31 2027; clean vehicle credits end Sep 30 2025,mixed,Industry racing to qualify under shortened timelines; widespread project delays and cancellations; domestic clean energy manufacturing investment confidence undermined; bipartisan concern from states with active renewable projects,https://taxnews.ey.com/news/2025-1434,HIGH,,,0
2025-10-07,"CA, WA, OR, MT, IL, IN, MI, PA, DE, NJ, WV, OH, MN, ND, SD, TX, LA",DOE — Hydrogen Hub Grant Terminations (All 7 Regional Hubs),$7 billion (7 regional hubs),canceled,"DOE terminated all 7 regional clean hydrogen hubs funded under Bipartisan Infrastructure Law; ARCHES (CA), PNW H2 (WA/OR/MT), MachH2 (IL/IN/MI), MACH2 (PA/DE/NJ), Heartland (MN/ND/SD), ARCH2 (WV/OH/PA), HyVelocity (TX/LA) deemed not economically viable",resisted,Bipartisan congressional alarm; terminations affect both red and blue states; U.S. hydrogen sector competitiveness threatened relative to China and Gulf states; thousands of jobs at risk; no appeal process announced,https://heatmap.news/politics/doe-grant-terminations-hydrogen-hubs,HIGH,7000000000,"CA,WA,OR,MT,IL,IN,MI,PA,DE,NJ,WV,OH,MN,ND,SD,TX,LA",1
2025-06-02,All States,EPA — 16 Categorical Grant Programs (FY2026 Proposed Elimination),$1.1 billion (16 of 19 programs),threatened,"FY2026 EPA budget proposes eliminating 16 of 19 categorical grants funding state air/water quality monitoring, pollution enforcement, and environmental protection; only 3 tribal programs retained; part of 54% total EPA budget reduction to $4.16B",resisted,Subject to Congressional approval; states warn loss of categorical grants would undermine on-the-ground environmental monitoring and enforcement capacity; historically Congress has restored some targeted EPA cuts,https://grantedai.com/news/epa-budget-cut-54-percent-state-grants-eliminated,MEDIUM,1100000000,,0
